group_no,colonia,last_grade,last_grade_category,preg_score,preg_uno,preg_dos,preg_tres,preg_cuatro,preg_cinco,preg_seis
A1,Yes,9,2,5.5,Yes,Yes,Unsure,Yes,Yes,Yes
A2,Yes,6,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A3,Yes,9,2,6,Yes,Yes,Yes,Yes,Yes,Yes
A4,Yes,6,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A5,Yes,10,3,6,Yes,Yes,Yes,Yes,Yes,Yes
A6,Yes,6,1,4.5,No,Unsure,Yes,Yes,Yes,Yes
A7,Yes,6,1,5.5,Yes,Yes,Unsure,Yes,Yes,Yes
A8,Yes,4,1,5,No,Yes,Yes,Yes,Yes,Yes
A9,Yes,6,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A10,Yes,10,3,,,,,,,
A11,Yes,5,1,4.5,Unsure,Yes,No,Yes,Yes,Yes
A12,Yes,6,1,5,Yes,Yes,No,Yes,Yes,Yes
A13,Yes,1,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A14,Yes,10,3,6,Yes,Yes,Yes,Yes,Yes,Yes
A15,Yes,8,2,4.5,No,Yes,Unsure,Yes,Yes,Yes
A16,Yes,4,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A17,Yes,3,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A18,Yes,12,3,5,Yes,Yes,No,Yes,Yes,Yes
A19,Yes,13,4,5,Yes,Yes,No,Yes,Yes,Yes
A20,Yes,6,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A21,Yes,6,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A22,Yes,12,3,6,Yes,Yes,Yes,Yes,Yes,Yes
A23,Yes,,,5,Yes,Yes,No,Yes,Yes,Yes
A24,Yes,9,2,6,Yes,Yes,Yes,Yes,Yes,Yes
A25,Yes,0,0,6,Yes,Yes,Yes,Yes,Yes,Yes
A26,Yes,3,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A27,Yes,9,2,4.5,Yes,Unsure,Yes,No,Yes,Yes
A28,Yes,10,3,5,Yes,Yes,Yes,No,Yes,Yes
A29,Yes,5,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A30,Yes,5,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A31,Yes,6,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A32,Yes,10,3,6,Yes,Yes,Yes,Yes,Yes,Yes
A33,Yes,5,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A34,Yes,6,1,5.5,Yes,Yes,Unsure,Yes,Yes,Yes
A35,Yes,6,1,3,No   ,Yes,No    ,No,Yes,Yes
A36,No,9,2,5,Yes,Yes,Yes,No,Yes,Yes
A37,Yes,6,1,5.5,Yes,Unsure,Yes,Yes,Yes,Yes
A38,No,0,0,4,No,Yes,No,Yes,Yes,Yes
A39,Yes,12,3,6,Yes,Yes,Yes,Yes,Yes,Yes
A40,Yes,6,1,5,Yes,Yes,No,Yes,Yes,Yes
A41,Yes,9,2,6,Yes,Yes,Yes,Yes,Yes,Yes
A42,Yes,6,1,5.5,Yes,Unsure,Yes,Yes,Yes,Yes
A43,No,12,3,5,Yes,Yes,Yes,No,Yes,Yes
A44,No,6,1,5.5,Yes,Yes,Unsure,Yes,Yes,Yes
A45,Yes,8,2,4,No,Yes,No,Yes,Yes,Yes
A46,Yes,4,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A47,Yes,5,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A48,Yes,6,1,5,Yes,Unsure,Unsure,Yes,Yes,Yes
A49,Yes,7,2,6,Yes,Yes,Yes,Yes,Yes,Yes
A50,Yes,12,3,4.5,Yes,Yes,Unsure,No,Yes,Yes
A51,Yes,12,3,6,Yes,Yes,Yes,Yes,Yes,Yes
A52,Yes,6,1,5.5,Yes,Yes,Unsure,Yes,Yes,Yes
A54,Yes,10,3,6,Yes,Yes,Yes,Yes,Yes,Yes
A55,Yes,12,3,6,Yes,Yes,Yes,Yes,Yes,Yes
A56,Yes,6,1,5.5,Yes,Unsure,Yes,Yes,Yes,Yes
A57,Yes,11,3,5,Yes,Yes,Yes,No,Yes,Yes
A58,Yes,9,2,6,Yes,Yes,Yes,Yes,Yes,Yes
A59,Yes,9,2,6,Yes,Yes,Yes,Yes,Yes,Yes
A60,Yes,6,1,5,Yes,No,Yes,Yes,Yes,Yes
A61,Yes,12,3,6,Yes,Yes,Yes,Yes,Yes,Yes
A62,Yes,12,3,6,Yes,Yes,Yes,Yes,Yes,Yes
A63,Yes,13,4,6,Yes,Yes,Yes,Yes,Yes,Yes
A64,Yes,6,1,4.5,No,Yes,Unsure,Yes,Yes,Yes
A65,Yes,6,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A66,Yes,4,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A67,Yes,12,3,5,No,Yes,Yes,Yes,Yes,Yes
A68,No,12,3,4.5,Yes,Unsure,Yes,No,Yes,Yes
A69,No,6,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A70,No,4,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A71,No,6,1,4,Yes,Unsure,Yes,No,Yes,Unsure
A72,No,9,2,5,Yes,Yes,Yes,No,Yes,Yes
A73,No,4,1,5,Yes,Yes,Yes,No,Yes,Yes
A74,No,,,5,No,Yes,Yes,Yes,Yes,Yes
A75,No,6,1,5,Yes,Yes,No  ,Yes,Yes,Yes
A76,No,8,2,4,Yes,Unsure,Unsure,No,Yes,Yes
A77,No,7,2,3,No,Unsure,Unsure,No,Yes,Yes
A78,No,11,3,5,Unsure,Unsure,Yes,Yes,Yes,Yes
A79,No,7,2,5,No,Yes,Yes,Yes,Yes,Yes
A80,No,3,1,5.5,Yes,Unsure,Yes,Yes,Yes,Yes
A81,No,6,1,5,Yes,Yes,No,Yes,Yes,Yes
A82,No,12,3,6,Yes,Yes,Yes,Yes,Yes,Yes
A83,No,10,3,5,Yes,Yes,Yes,No,Yes,Yes
A84,No,12,3,6,Yes,Yes,Yes,Yes,Yes,Yes
A85,Yes,6,1,3.5,No,Yes,Unsure,No,Yes,Yes
A86,Yes,7,2,5.5,Yes,Unsure,Yes,Yes,Yes,Yes
A87,Yes,6,1,5.5,Yes,Unsure,Yes,Yes,Yes,Yes
A88,Yes,8,2,5.5,Yes,Yes,Unsure,Yes,Yes,Yes
A89,No,10,3,4.5,Yes,Unsure,Yes,No,Yes,Yes
A90,No,12,3,5.5,Yes,Yes,Yes,Unsure,Yes,Yes
A91,No,6,1,5.5,Yes,Unsure,Yes,Yes,Yes,Yes
A92,No,7,2,6,Yes,Yes,Yes,Yes,Yes,Yes
A93,No,6,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A94,No,8,2,6,Yes,Yes,Yes,Yes,Yes,Yes
A95,No,5,1,6,Yes,Yes,Yes,Yes,Yes,Yes
A96,No,6,1,4,No,Yes,No,Yes,Yes,Yes
A97,No,9,2,5,Yes,Yes,No,Yes,Yes,Yes
A98,No,12,3,4.5,Yes,Yes,Unsure,No,Yes,Yes
A99,No,12,3,5,Yes,Yes,Yes,No,Yes,Yes
